,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
373,Urzhum,83,RU,1580239831,94,57.11,50.0,-6.52,6.46
374,General Pico,74,AR,1580239831,16,-35.66,-63.76,99.61,9.24
375,Ahtopol,64,BG,1580239831,81,42.1,27.95,45.0,2.24
376,Granadilla de Abona,31,ES,1580239832,68,28.12,-16.58,66.2,5.82
377,Tutora,96,RO,1580239832,83,47.13,27.78,37.99,8.05
378,Kattivakkam,20,IN,1580239832,74,13.22,80.32,81.0,5.82
379,Pierre,90,US,1580239750,100,44.37,-100.35,34.0,5.82
380,Roswell,20,US,1580239661,38,34.02,-84.36,61.0,9.17
381,Matay,0,EG,1580239832,54,28.42,30.78,51.22,7.49
382,Valparaiso,40,CL,1580239443,77,-33.04,-71.63,66.2,6.93
383,Desna,33,UA,1580239832,100,50.93,30.76,32.0,8.95
384,Kavieng,30,PG,1580239263,75,-2.57,150.8,84.06,9.89
385,Pompeu,67,BR,1580239832,87,-19.22,-44.94,76.41,5.55
386,Sampit,100,ID,1580239832,97,-2.53,112.95,76.59,2.1
387,Dedougou,0,BF,1580239833,6,12.47,-3.47,76.96,6.87
388,Candia,90,US,1580239833,47,43.08,-71.28,39.2,11.41
389,Alice Springs,0,AU,1580239454,45,-23.7,133.88,82.4,5.82
390,Soe,71,ID,1580239833,85,-9.86,124.28,74.5,5.75
391,Guerrero Negro,0,MX,1580239567,33,27.98,-114.06,69.12,3.85
392,Caceres,85,ES,1580239833,89,39.52,-6.37,55.0,4.0
393,Mogadishu,81,SO,1580239565,78,2.04,45.34,80.29,28.54
394,Saint-Prosper,100,CA,1580239833,85,46.21,-70.48,24.01,1.01
395,Khandyga,68,RU,1580239833,100,62.67,135.6,-33.34,1.43
396,Crotone,20,IT,1580239833,58,39.09,17.12,53.6,8.05
397,Amahai,100,ID,1580239834,76,-3.33,128.92,83.23,11.88
398,Kjollefjord,1,NO,1580239801,72,70.95,27.35,14.0,16.11
399,Moroni,40,KM,1580239834,83,-11.7,43.26,82.4,3.36
400,Osa,30,RU,1580239834,99,57.28,55.46,-17.79,2.15
401,Kaeo,18,NZ,1580239606,100,-35.1,173.78,69.01,2.77
402,Winona,90,US,1580239572,79,43.97,-91.77,24.8,3.36
403,Wasco,1,US,1580239834,71,35.59,-119.34,55.4,5.82
404,Baracoa,34,CU,1580239834,64,20.35,-74.5,77.67,2.57
405,Leh,95,IN,1580239229,83,34.17,77.58,-3.17,5.95
406,Lorengau,96,PG,1580239311,80,-2.02,147.27,82.9,11.63
407,Tonj,0,SS,1580239834,14,7.27,28.68,72.64,3.71
408,Udachny,100,RU,1580239835,90,66.42,112.4,4.77,13.18
409,Urumqi,25,CN,1580239545,85,43.8,87.6,15.8,2.24
410,Malbork,75,PL,1580239415,93,54.04,19.03,43.0,10.29
411,Padron,75,ES,1580239835,100,42.74,-8.66,57.0,3.36
412,Tessalit,0,ML,1580239573,9,20.2,1.01,80.82,9.42
413,Magalia,90,US,1580239835,71,39.81,-121.58,57.2,13.87
414,Khanbari,94,NP,1580239597,63,27.37,87.2,32.2,4.25
415,Kahului,20,US,1580239800,69,20.89,-156.47,75.2,6.49
416,Betare Oya,0,CM,1580239835,23,5.6,14.08,72.79,5.77
417,Bardiyah,8,LY,1580239206,74,31.76,25.09,59.11,17.43
418,Bhadasar,0,IN,1580239835,64,28.28,74.32,55.85,4.79
419,Uvat,98,RU,1580239836,96,59.14,68.9,-12.55,6.53
420,Ciudad Bolivar,22,VE,1580239836,39,8.12,-63.55,92.28,8.61
421,Karratha,8,AU,1580239556,76,-20.74,116.85,84.63,17.11
422,Alugan,16,PH,1580239836,88,12.22,125.48,75.52,4.41
423,Saldanha,4,ZA,1580239422,77,-33.01,17.94,66.2,13.87
424,Sinnamary,100,GF,1580239656,81,5.38,-52.95,80.71,13.27
425,Pindi Gheb,90,PK,1580239836,100,33.24,72.27,46.4,11.41
426,Kulykiv,100,UA,1580239836,87,50.31,24.82,35.71,8.86
427,Olinda,51,BR,1580239586,66,-8.01,-34.86,86.0,12.75
428,Sokolo,0,ML,1580239836,4,14.73,-6.12,77.16,10.09
429,Resistencia,40,AR,1580239546,44,-27.46,-58.98,95.0,5.82
430,Trelew,17,AR,1580239753,21,-43.25,-65.31,71.01,16.17
431,Papara,40,BR,1580239837,66,-3.98,-38.73,84.99,11.41
432,Murgab,0,TM,1580239837,62,37.5,61.97,37.4,6.93
433,Nantucket,90,US,1580239765,60,41.28,-70.1,39.99,12.75
434,Santa Vitoria do Palmar,0,BR,1580239354,37,-33.52,-53.37,80.42,6.58
435,Kushmurun,0,KZ,1580239678,89,52.45,64.63,-6.12,6.98
436,Nome,1,US,1580239650,68,64.5,-165.41,-16.01,6.78
437,Klyuchi,100,RU,1580239837,90,52.27,79.17,9.54,22.77
438,Meulaboh,100,ID,1580239722,77,4.14,96.13,82.36,23.38
439,Kyren,0,RU,1580239837,71,51.68,102.14,6.26,11.23
440,Sarakhs,0,IR,1580239837,74,36.54,61.16,37.4,4.7
441,Nishihara,75,JP,1580239463,82,26.18,127.76,60.8,14.99
442,Norden,20,DE,1580239838,86,53.6,7.2,41.0,11.41
443,Walvis Bay,0,NA,1580239838,77,-22.96,14.51,64.99,8.05
444,Alice Town,60,BS,1580239838,75,25.72,-79.3,73.24,12.19
445,Varanasi,40,IN,1580239838,87,25.33,83.0,59.0,3.36
446,Arrondissement de Gourdon,98,FR,1580239838,92,44.75,1.5,43.0,3.0
447,Grindavik,20,IS,1580239794,67,63.84,-22.43,32.0,5.82
448,Chifeng,100,CN,1580239838,75,42.27,118.96,15.66,4.54
449,Ossora,99,RU,1580239599,95,59.24,163.07,22.86,4.32
450,Senta,100,RS,1580239838,73,45.93,20.08,49.3,22.64
451,Bogorodskoye,92,RU,1580239839,94,56.55,37.88,22.06,6.82
452,Pinawa,99,CA,1580239839,86,50.15,-95.88,18.34,2.84
453,Svetlogorsk,78,BY,1580239733,87,52.63,29.73,31.87,9.46
454,Henties Bay,11,NA,1580239839,88,-22.12,14.28,64.99,3.0
455,Papineauville,90,CA,1580239839,79,45.62,-75.02,28.99,8.05
456,Casper,1,US,1580239839,68,42.87,-106.31,36.0,16.11
457,Palana,98,RU,1580239839,74,59.12,159.97,16.43,5.57
458,Avera,1,US,1580239448,41,33.19,-82.53,62.01,4.7
459,Nsoko,8,SZ,1580239839,95,-27.03,31.95,64.85,1.63
460,Whitehorse,75,CA,1580239567,85,60.72,-135.05,26.01,2.24
461,Tawang,62,IN,1580239839,85,27.58,91.87,17.91,3.56
462,Kiryat Gat,40,IL,1580239577,76,31.61,34.76,57.2,4.7
463,Saint-Francois,100,FR,1580239186,75,46.42,3.91,44.01,6.93
464,Cervo,100,ES,1580239840,1,43.67,-7.41,54.0,3.0
465,Murmino,97,RU,1580239840,94,54.6,40.05,32.0,4.0
466,Borogontsy,0,RU,1580239840,97,62.67,131.17,-32.49,3.27
467,Zonguldak,91,TR,1580239840,92,41.25,31.83,38.79,3.29
468,Saint-Michel-des-Saints,35,CA,1580239840,7,46.68,-73.92,28.99,5.91
469,Pathein,0,MM,1580239840,71,16.78,94.73,73.27,15.08
470,Nueve de Julio,57,AR,1580239840,14,-35.44,-60.88,97.47,16.26
471,Qasigiannguit,75,GL,1580239840,49,68.82,-51.19,3.2,17.22
472,Oranjemund,43,NA,1580239213,73,-28.55,16.43,65.16,15.79
473,Shimoda,90,JP,1580239426,93,34.67,138.95,53.6,6.93
474,Katherine,75,AU,1580239207,88,-14.47,132.27,73.4,13.87
475,Domoni,100,KM,1580239841,72,-12.26,44.53,83.62,7.36
476,Kilindoni,31,TZ,1580239624,80,-7.91,39.67,83.01,11.79
477,Jardim,95,BR,1580239841,50,-21.48,-56.14,86.83,5.1
478,Santo Antonio do Ica,100,BR,1580239841,91,-3.1,-67.94,79.41,1.12
479,San Patricio,40,MX,1580239097,58,19.22,-104.7,82.4,6.93
480,Dunedin,100,NZ,1580239374,92,-45.87,170.5,60.01,3.0
481,Ejea de los Caballeros,50,ES,1580239841,81,42.13,-1.14,55.4,4.7
482,Eyl,98,SO,1580239537,68,7.98,49.82,75.65,28.45
483,Netphen,20,DE,1580239841,69,50.92,8.1,39.99,9.17
484,Machico,20,PT,1580239841,67,32.7,-16.77,62.6,4.7
485,Berlevag,40,NO,1580239244,66,70.86,29.09,14.0,14.99
486,Husavik,90,IS,1580239194,85,66.04,-17.34,21.2,6.93
487,Ukiah,20,US,1580239842,62,39.15,-123.21,57.99,5.82
488,Departamento de Maldonado,0,UY,1580239826,45,-34.67,-54.92,82.4,4.7
489,Altagracia de Orituco,0,VE,1580239496,36,9.86,-66.38,85.57,5.88
490,Koulamoutou,94,GA,1580239554,52,-1.13,12.47,83.79,3.4
491,Lengshuitan,0,CN,1580239842,86,26.41,111.6,38.46,1.81
492,Swellendam,0,ZA,1580239795,72,-34.02,20.44,68.0,7.34
493,Ahipara,67,NZ,1580239222,100,-35.17,173.17,69.01,3.49
494,Taoudenni,91,ML,1580239264,16,22.68,-3.98,78.84,10.42
495,North Bend,90,US,1580239482,81,43.41,-124.22,54.0,17.22
496,Tkibuli,75,GE,1580239842,32,42.35,43.0,53.6,11.41
497,Zhanaozen,0,KZ,1580239842,74,43.3,52.8,37.49,12.91
498,Kumul,19,CN,1580239576,73,42.8,93.45,10.98,1.32
499,Puerto Madryn,8,AR,1580239842,40,-42.77,-65.04,65.97,17.65
500,Olafsvik,52,IS,1580239843,69,64.89,-23.71,31.32,13.27
501,Malanje,65,AO,1580239843,93,-9.54,16.34,64.89,2.68
502,Quelimane,20,MZ,1580239843,78,-17.88,36.89,82.4,3.36
503,Coahuayana Viejo,40,MX,1580239271,53,18.73,-103.68,75.2,6.93
504,Sucila,67,MX,1580239843,44,21.15,-88.32,88.77,0.83
505,Assiniboia,0,CA,1580239745,88,49.63,-105.98,21.45,4.12
506,Troitsko-Pechorsk,75,RU,1580239771,97,62.71,56.2,-12.53,5.12
507,Balta,71,UA,1580239843,94,47.94,29.62,35.4,6.4
508,Baykit,92,RU,1580239711,97,61.67,96.37,4.37,2.71
509,San Policarpo,16,PH,1580239843,88,12.18,125.51,75.52,4.41
510,College,20,US,1580239843,74,64.86,-147.8,-17.0,3.49
511,Ostrovnoy,98,RU,1580239692,99,68.05,39.51,3.63,8.41
512,Peleduy,20,RU,1580239524,84,59.63,112.74,-2.24,2.35
513,Zamosc,100,PL,1580239844,93,50.72,23.25,35.6,11.41
514,Ulverstone,3,AU,1580239844,92,-41.15,146.17,57.99,1.01
515,Bodden Town,20,KY,1580239316,65,19.28,-81.25,82.99,6.93
516,Coyhaique,75,CL,1580239583,50,-45.58,-72.07,59.0,8.05
517,Killin,90,US,1580239844,87,33.61,-91.74,51.8,7.4
518,Oksfjord,20,NO,1580239844,68,70.24,22.35,24.8,34.45
519,Singaraja,100,ID,1580239844,74,-8.11,115.09,84.6,7.56
520,Vila Franca do Campo,75,PT,1580239327,100,37.72,-25.43,60.8,21.92
521,Winslow,1,US,1580239844,36,35.02,-110.7,44.6,3.94
522,Talaya,100,RU,1580239844,99,61.38,152.75,-12.96,5.32
523,Marawi,75,PH,1580239844,91,8.0,124.29,77.0,4.0
524,Comodoro Rivadavia,40,AR,1580239844,39,-45.87,-67.5,66.2,8.05
525,Lima,90,PE,1580239798,69,-12.04,-77.03,80.6,12.75
526,Goderich,97,CA,1580239573,80,43.75,-81.72,34.0,9.91
527,Srednekolymsk,100,RU,1580239337,92,67.45,153.68,-23.49,7.34
528,Beira,75,MZ,1580239662,78,-19.84,34.84,82.4,14.99
529,Etropole,42,BG,1580239845,70,42.83,24.0,39.99,6.93
530,Geraldton,90,AU,1580239706,83,-28.77,114.6,69.8,13.87
531,Ingham,90,US,1580239845,83,42.6,-84.38,34.0,4.7
532,Genoa,95,IT,1580239814,76,44.41,8.96,53.6,2.24
533,Baiquan,0,CN,1580239845,91,47.58,126.08,-2.18,12.44
534,Pyapon,0,MM,1580239845,83,16.28,95.68,59.81,4.94
535,San Jose de Rio Tinto,0,HN,1580239845,46,14.93,-85.7,84.2,3.91
536,Chara,0,RU,1580239845,70,56.91,118.26,-10.46,1.32
537,Umm Kaddadah,0,SD,1580239845,16,13.6,26.69,61.11,12.59
538,Krasnaya Polyana,99,RU,1580239845,95,56.24,51.14,-4.38,5.01
539,Marzuq,0,YE,1580239846,34,14.4,46.47,54.05,2.13
540,Ashland,90,US,1580239707,74,40.82,-82.27,35.01,6.93
541,Diamantina,100,BR,1580239846,95,-18.25,-43.6,68.45,5.23
542,Bondo,0,CD,1580239846,29,3.81,23.69,73.36,2.46
543,Mareeba,90,AU,1580239388,94,-17.0,145.43,79.0,5.82
544,Semnan,17,IR,1580239846,52,35.57,53.4,34.75,6.04
545,Albino,82,IT,1580239846,100,45.76,9.8,46.0,5.82
546,Kita,62,ML,1580239846,6,13.03,-9.49,79.21,5.12
547,Tambo,100,PE,1580239846,92,-14.8,-73.92,50.41,7.87
548,Mindelo,82,CV,1580239846,57,16.89,-24.98,75.2,19.46
549,Kasongo-Lunda,68,CD,1580239847,84,-6.47,16.82,72.19,1.07
550,Savannah Bight,0,HN,1580239847,76,16.45,-85.85,78.31,5.97
551,Jati,0,PK,1580239847,49,24.35,68.27,57.13,7.31
552,Kruisfontein,0,ZA,1580239329,69,-34.0,24.73,62.96,9.35
553,Itum-Kali,83,RU,1580239847,90,42.74,45.58,13.05,7.67
554,Koslan,89,RU,1580239847,98,63.46,48.9,-7.26,4.79
555,Nacala,100,MZ,1580239847,95,-14.54,40.67,73.17,4.43
556,Coquimbo,40,CL,1580239539,60,-29.95,-71.34,71.6,9.17
557,Annau,0,TM,1580239847,74,37.89,58.52,37.4,6.93
558,Lagos,28,NG,1580239656,78,6.58,3.75,82.4,3.36
559,Hofn,89,IS,1580239241,73,64.25,-15.21,38.71,19.86
560,Vao,100,NC,1580239848,72,-22.67,167.48,76.71,13.4
561,Bystryy Istok,100,RU,1580239848,89,52.37,84.39,23.18,10.29
562,Maniitsoq,0,GL,1580239848,63,65.42,-52.9,6.76,5.91
563,Beloha,21,MG,1580239688,92,-25.17,45.05,73.17,6.08
564,Wajir,40,KE,1580239848,48,1.75,40.06,87.8,3.33
565,Evensk,100,RU,1580239848,95,61.95,159.23,12.74,2.46
566,Kuruman,47,ZA,1580239848,14,-27.45,23.43,75.99,8.99
567,Progreso,40,MX,1580239233,46,21.28,-89.67,90.0,7.65
568,Sorong,0,ID,1580239578,97,-0.88,131.25,73.54,2.04
569,Laas,75,IT,1580239569,79,46.62,10.7,37.4,6.93
570,Flinders,90,AU,1580239430,94,-34.58,150.86,73.0,5.82
571,Cerqueira Cesar,84,BR,1580239849,67,-23.04,-49.17,78.31,1.59
572,Oistins,40,BB,1580239401,69,13.07,-59.53,82.4,13.87
573,Yining,0,CN,1580239849,90,29.04,114.56,32.59,0.13
574,Saint-Augustin,82,CA,1580239499,84,51.23,-58.65,17.76,11.41
575,Tigil,42,RU,1580239849,75,57.8,158.67,9.79,6.46
576,Brufut,52,GM,1580239849,42,13.38,-16.75,82.4,4.7
577,Altamira,75,BR,1580239849,79,-3.2,-52.21,84.2,2.24
578,Praia,69,CV,1580239849,47,14.92,-23.51,78.8,20.8
